"Yellow","Blue","Indigo","Sample","Site"
0.927136617082708,0.0728633819172916,9.9999999975e-10,"681.bam","Basin Hill Shoals"
0.971752758935771,0.0282472400642288,9.999999996e-10,"682.bam","Basin Hill Shoals"
0.086834803941179,0.898264227897254,0.0149009681615668,"683.bam","Basin Hill Shoals"
0.982521736575761,0.0174782624242388,9.9999999974e-10,"685.bam","Basin Hill Shoals"
0.999999998,9.9999999949e-10,9.9999999949e-10,"696.bam","Elkhorn Reef (Old Rhodes 2)"
0.997454741410958,0.00254525758904179,9.9999999954e-10,"697.bam","Elkhorn Reef (Old Rhodes 2)"
0.018432743952832,0.981567255047168,9.999999996e-10,"698.bam","Elkhorn Reef (Old Rhodes 2)"
0.999999998,9.9999999948e-10,9.9999999948e-10,"699.bam","Elkhorn Reef (Old Rhodes 2)"
9.9999999933e-10,9.9999999933e-10,0.999999998,"700.bam","Elkhorn Reef (Old Rhodes 2)"
9.9999999997e-10,9.9999999997e-10,0.999999998,"706.bam","Ajax Deep"
9.9999999933e-10,9.9999999933e-10,0.999999998,"707.bam","Ajax Deep"
0.999999441934021,5.5706597931746e-07,9.9999999954e-10,"708.bam","Ajax Deep"
0.0169530612011946,0.0828008106612902,0.900246128137515,"709.bam","Ajax Deep"
9.9999999958e-10,9.9999999958e-10,0.999999998,"710.bam","Ajax Deep"
0.999999998,9.9999999949e-10,9.9999999949e-10,"716.bam","Ajax Shallow"
0.999999998,9.9999999951e-10,9.9999999951e-10,"717.bam","Ajax Shallow"
0.716945689275134,0.207461405221568,0.075592905503298,"718.bam","Ajax Shallow"
2.20100782453843e-06,0.999997797992175,9.9999999988e-10,"719.bam","Ajax Shallow"
0.999999998,9.9999999953e-10,9.9999999953e-10,"71.bam","Hospital Key"
9.9999999951e-10,0.999999998,9.9999999951e-10,"720.bam","Ajax Shallow"
0.979210072256865,0.0207899267431353,9.9999999961e-10,"726.bam","Bache Shoals"
0.922637025295358,0.045738007791686,0.0316249669129559,"727.bam","Bache Shoals"
0.988397329237047,0.011602669762953,9.9999999954e-10,"728.bam","Bache Shoals"
0.999999998,9.999999995e-10,9.999999995e-10,"729.bam","Bache Shoals"
0.846301077509994,0.153698921490006,9.9999999973e-10,"730.bam","Bache Shoals"
0.700486363285464,0.102626019783623,0.196887616930913,"746.bam","Triumph Reef"
9.9999999946e-10,0.999999998,9.9999999946e-10,"747.bam","Triumph Reef"
0.999999998,9.9999999952e-10,9.9999999952e-10,"748.bam","Triumph Reef"
0.999999998,9.9999999954e-10,9.9999999954e-10,"749.bam","Triumph Reef"
0.999999998,9.9999999955e-10,9.9999999955e-10,"74.bam","DT.2"
0.379295168349215,0.620704830650785,9.9999999977e-10,"750.bam","Triumph Reef"
